"V1","V2"
4716000,5224000
4506000,4664000
4526000,4784000
4626000,4834000
4966000,5184000
4136000,4114000
5066000,5354000
4876000,5094000
4946000,5244000
4856000,5094000
4966000,5274000
4736000,5194000
5006000,5244000
4956000,5204000
4716000,4954000
4976000,5194000
5026000,5294000
4866000,5274000
4216000,4354000
4556000,4674000
4976000,5234000
4706000,5184000
4626000,4774000
4646000,4864000
4806000,5054000
4966000,5334000
5036000,5284000
4316000,4344000
4866000,5094000
4706000,4904000
4516000,4874000
4736000,4954000
4796000,5044000
4236000,4104000
5036000,5364000
4286000,4324000
4906000,5234000
4516000,4704000
4986000,5364000
4636000,5044000
4166000,4044000
4266000,4284000
4736000,4944000
4846000,5094000
4976000,5304000
4546000,4744000
4566000,4864000
5026000,5364000
4916000,5194000
4986000,5284000
4736000,4964000
4966000,5314000
4926000,5304000
4746000,5004000
5016000,5274000
4266000,4324000
4796000,5034000
4926000,5104000
4666000,4874000
4206000,4314000
4536000,4744000
4846000,5304000
4956000,5214000
4536000,4754000
4916000,5104000
5036000,5294000
4896000,5074000
4886000,5094000
4626000,4804000
4976000,5274000
4306000,4344000
4836000,5094000
5016000,5394000
4916000,5254000
4776000,5034000
5026000,5334000
4676000,4844000
5016000,5374000
4226000,4144000
4966000,5204000
4196000,4234000
5026000,5354000
4586000,4714000
5036000,5344000
5036000,5354000
4746000,4954000
4996000,5294000
4986000,5234000
4976000,5224000
4976000,5244000
4706000,4944000
4246000,4344000
4536000,4624000
5046000,5304000
4566000,4654000
4496000,4534000
4236000,4194000
4916000,5304000
4526000,4744000
4716000,5164000
4846000,5254000
4966000,5214000
4936000,5114000
4426000,4434000
4556000,4694000
4996000,5244000
4756000,5204000
4326000,4294000
4466000,4424000
5006000,5284000
4976000,5184000
4916000,5224000
4546000,4644000
4456000,4414000
4816000,5084000
4906000,5294000
4766000,5034000
5026000,5274000
4816000,5074000
4856000,5324000
4966000,5284000
4996000,5374000
4836000,5234000
4806000,5274000
4436000,4394000
4806000,5304000
4616000,4774000
4986000,5194000
5036000,5374000
4176000,4064000
4486000,4544000
4986000,5254000
4936000,5124000
4986000,5324000
4986000,5334000
4816000,5294000
4696000,5174000
4246000,4234000
4996000,5234000
4936000,5204000
4156000,4174000
4796000,5224000
4536000,4824000
4936000,5134000
5076000,5114000
4636000,4834000
5066000,5364000
5066000,5334000
4666000,5104000
4716000,4924000
5016000,5244000
4136000,4024000
4856000,5304000
4786000,5274000
4736000,5034000
4776000,5224000
4926000,5364000
4936000,5164000
4976000,5284000
5016000,5384000
4236000,4134000
4936000,5104000
5006000,5234000
4986000,5224000
4356000,4394000
5056000,5334000
4176000,4044000
4646000,5054000
4746000,5044000
4726000,4934000
4446000,4404000
4776000,5254000
4966000,5134000
4596000,4744000
5066000,5114000
4256000,4344000
4826000,5234000
4926000,5244000
4736000,5054000
4946000,5224000
4956000,5184000
4656000,5094000
4926000,5224000
4436000,4454000
4886000,5084000
4496000,4744000
4156000,4264000
4946000,5234000
4656000,5114000
4586000,4724000
4536000,4644000
4556000,4704000
4146000,4214000
4566000,4674000
4986000,5244000
5036000,5274000
4846000,5244000
4976000,5204000
4816000,5054000
4816000,5064000
4356000,4384000
4476000,4544000
4926000,5334000
4826000,5304000
4346000,4394000
4976000,5374000
4946000,5254000
4166000,4054000
4186000,4064000
4746000,4994000
5046000,5344000
4486000,4564000
4746000,4974000
4536000,4654000
4796000,5264000
4936000,5174000
4906000,5264000
5006000,5364000
4826000,5054000
4716000,4904000
4836000,5064000
4866000,5294000
4836000,5274000
5016000,5344000
4286000,4404000
4986000,5314000
4546000,4754000
4316000,4324000
4956000,5144000
5046000,5294000
4216000,4174000
5046000,5374000
4976000,5264000
4566000,4704000
4966000,5364000
4656000,4894000
5016000,5294000
4486000,4444000
4916000,5204000
4976000,5254000
4746000,4984000
5026000,5264000
4956000,5134000
4866000,5284000
5056000,5374000
4686000,4894000
4926000,5234000
4636000,4774000
5036000,5304000
4236000,4094000
4146000,4014000
4436000,4384000
4996000,5364000
4856000,5294000
4836000,5054000
4916000,5234000
4936000,5154000
4896000,5254000
4216000,4374000
4986000,5294000
4926000,5094000
4746000,4964000
5016000,5304000
4716000,4934000
4846000,5044000
4886000,5074000
4606000,4754000
4426000,4444000
4996000,5224000
4566000,4894000
4636000,4824000
4936000,5194000
4636000,4794000
4706000,4854000
4336000,4314000
4156000,4004000
4966000,5374000
4826000,5094000
4896000,5094000
5006000,5374000
4966000,5174000
4936000,5144000
5036000,5384000
4686000,5124000
4456000,4404000
4556000,4864000
4946000,5214000
4876000,5294000
5026000,5254000
4276000,4394000
4826000,5044000
4856000,5284000
4276000,4404000
4616000,5034000
4386000,4344000
4746000,5024000
4536000,4864000
4756000,5034000
4696000,4844000
4976000,5364000
4956000,5314000
4966000,5344000
4186000,4344000
4876000,5284000
4936000,5244000
4346000,4314000
4916000,5094000
4766000,5264000
4136000,4084000
4906000,5094000
4186000,4034000
5016000,5234000
5016000,5284000
4136000,4014000
4686000,5184000
4426000,4394000
4546000,4824000
4936000,5094000
4936000,5184000
4966000,5144000
4566000,4664000
4916000,5214000
4706000,4844000
